[rosmaster.main][INFO] 2017-11-03 15:40:58,368: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:40:58,368: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:40:58,369: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:40:58,369: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:40:58,369: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:40:58,369: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:40:58,394: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,395: +PARAM [/roslaunch/uris/host_mdas_meerkat__43841] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,457: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:40:58,478: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:58,478: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,479: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:58,479: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,480: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,480: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:58,484: +SUB [/rosout] /rosout http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:58,488: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,489: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,493: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,494: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,679: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39917/
[rosmaster.master][INFO] 2017-11-03 15:40:58,680: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:51511
[rosmaster.master][INFO] 2017-11-03 15:40:58,680: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:51511
[rosmaster.master][INFO] 2017-11-03 15:40:58,769: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:58,885: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,886: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,886: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,891: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,893: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,898: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,898: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:58,970: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:59,072: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:46743/
[rosmaster.master][INFO] 2017-11-03 15:40:59,073: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:48635
[rosmaster.master][INFO] 2017-11-03 15:40:59,073: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:48635
[rosmaster.master][INFO] 2017-11-03 15:40:59,171: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:59,288: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,289: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,289: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,295: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,297: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,301: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,302: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,372: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:59,473: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39845/
[rosmaster.master][INFO] 2017-11-03 15:40:59,474: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:42073
[rosmaster.master][INFO] 2017-11-03 15:40:59,475: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:42073
[rosmaster.master][INFO] 2017-11-03 15:40:59,573: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:59,693: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,693: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,694: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,697: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,698: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,704: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,704: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,774: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:40:59,875: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:40259/
[rosmaster.master][INFO] 2017-11-03 15:40:59,876: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:39935
[rosmaster.master][INFO] 2017-11-03 15:40:59,876: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:39935
[rosmaster.master][INFO] 2017-11-03 15:40:59,974: publisherUpdate[/rosout] -> http://mdas-Meerkat:41533/
[rosmaster.master][INFO] 2017-11-03 15:41:00,096: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:42185/
[rosmaster.master][INFO] 2017-11-03 15:41:00,097: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:42185/
[rosmaster.master][INFO] 2017-11-03 15:41:00,097: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:42185/
[rosmaster.master][INFO] 2017-11-03 15:41:00,103: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42185/
