[rosmaster.main][INFO] 2017-11-08 13:23:44,593: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:23:44,593: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:23:44,593: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:23:44,594: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:23:44,594: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:23:44,594: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:23:44,622: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,622: +PARAM [/roslaunch/uris/host_mdas_meerkat__33989] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,680: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,681: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,681: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,681: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,681: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,681: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:44,682: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,683: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,684: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,687: +SUB [/rosout] /rosout http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,692: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:42129/
[rosmaster.master][INFO] 2017-11-08 13:23:44,693: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:42129/
[rosmaster.master][INFO] 2017-11-08 13:23:44,693: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,693: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:42129/
[rosmaster.master][INFO] 2017-11-08 13:23:44,702: +PUB [/rosout] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,703: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,704: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,704: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,705: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,706: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,713: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42129/
[rosmaster.master][INFO] 2017-11-08 13:23:44,716: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:42129/
[rosmaster.master][INFO] 2017-11-08 13:23:44,728: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,729: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,729: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,730: +PUB [/range] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,730: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,730: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:34491/
[rosmaster.master][INFO] 2017-11-08 13:23:44,753: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,754: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,762: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,763: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,763: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,793: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,794: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:23:44,898: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,900: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,903: -PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-08 13:23:44,905: -SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 rosrpc://mdas-Meerkat:39989
[rosmaster.master][INFO] 2017-11-08 13:23:44,907: -SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 rosrpc://mdas-Meerkat:39989
[rosmaster.master][INFO] 2017-11-08 13:23:44,909: -SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 rosrpc://mdas-Meerkat:39989
[rosmaster.master][INFO] 2017-11-08 13:23:44,911: -SERVICE [/usb_cam_1/start_capture] /usb_cam_1 rosrpc://mdas-Meerkat:39989
[rosmaster.master][INFO] 2017-11-08 13:23:44,913: -SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 rosrpc://mdas-Meerkat:39989
[rosmaster.master][INFO] 2017-11-08 13:23:44,995: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:25:37,519: +PUB [/rosout] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:37,526: +SERVICE [/rostopic_4988_1510165537398/get_loggers] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:37,528: +SERVICE [/rostopic_4988_1510165537398/set_logger_level] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:37,567: +SUB [/sensor_msgs/LaserScan] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:37,589: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:25:46,858: -SUB [/sensor_msgs/LaserScan] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:46,859: -PUB [/rosout] /rostopic_4988_1510165537398 http://mdas-Meerkat:44947/
[rosmaster.master][INFO] 2017-11-08 13:25:46,859: -SERVICE [/rostopic_4988_1510165537398/set_logger_level] /rostopic_4988_1510165537398 rosrpc://mdas-Meerkat:38879
[rosmaster.master][INFO] 2017-11-08 13:25:46,859: -SERVICE [/rostopic_4988_1510165537398/get_loggers] /rostopic_4988_1510165537398 rosrpc://mdas-Meerkat:38879
[rosmaster.master][INFO] 2017-11-08 13:25:46,904: publisherUpdate[/rosout] -> http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-08 13:26:59,221: +PARAM [/roslaunch/uris/host_mdas_meerkat__33333] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:26:59,224: +PARAM [/usb_cam_1/image_height] by /roslaunch
