[rosmaster.main][INFO] 2017-11-04 10:32:16,082: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 10:32:16,082: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 10:32:16,083: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 10:32:16,083: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 10:32:16,083: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 10:32:16,083: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 10:32:16,110: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:32:16,111: +PARAM [/roslaunch/uris/host_mdas_meerkat__43495] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:32:16,165: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:32:16,166: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:32:16,166: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:32:16,170: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,170: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,179: +SUB [/clock] /rosout http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,179: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,186: +SUB [/rosout] /rosout http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,442: +PUB [/rosout] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,443: +SERVICE [/gazebo/get_loggers] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,443: +SERVICE [/gazebo/set_logger_level] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,447: +SUB [/clock] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,483: publisherUpdate[/rosout] -> http://mdas-Meerkat:46287/
[rosmaster.master][INFO] 2017-11-04 10:32:16,557: +PUB [/clock] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,558: +SERVICE [/gazebo/spawn_gazebo_model] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,558: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,559: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,559: +SERVICE [/gazebo/delete_model] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,560: +SERVICE [/gazebo/get_model_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,560: +SERVICE [/gazebo/get_model_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,561: +SERVICE [/gazebo/get_world_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,561: +SERVICE [/gazebo/get_joint_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,562: +SERVICE [/gazebo/get_link_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,562: +SERVICE [/gazebo/get_link_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,562: +SERVICE [/gazebo/get_physics_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,563: +PUB [/gazebo/link_states] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,563: +PUB [/gazebo/model_states] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,564: +SERVICE [/gazebo/set_link_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,564: +SERVICE [/gazebo/set_physics_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,565: +SERVICE [/gazebo/set_model_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,565: +SERVICE [/gazebo/set_model_configuration] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,566: +SERVICE [/gazebo/set_joint_properties] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,566: +SERVICE [/gazebo/set_link_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,568: +SUB [/gazebo/set_link_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,570: +SUB [/gazebo/set_model_state] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,571: +SERVICE [/gazebo/pause_physics] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,571: +SERVICE [/gazebo/unpause_physics] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,572: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,572: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,573: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://mdas-Meerkat:36107/
[rosmaster.master][INFO] 2017-11-04 10:32:16,573: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://mdas-Meerkat:36107/
