%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1510334865858038387,2391,1510334865857799546,/lla,0,1,41.5179149549,-81.5486680354,296.564467596,0.160500048676,0.0,0.0,0.0,0.0956292568386,0.0,0.0,0.0,0.216412626981,0
1510334866858330652,2392,1510334866858162188,/lla,0,1,41.5179139162,-81.5486654953,296.676587862,0.161763843914,0.0,0.0,0.0,0.0963822480591,0.0,0.0,0.0,0.218116648524,0
1510334867860560403,2393,1510334867860335934,/lla,0,1,41.5179122601,-81.5486578461,296.640970973,0.163027613513,0.0,0.0,0.0,0.0971352384997,0.0,0.0,0.0,0.219820701354,0
1510334868858773342,2394,1510334868858546517,/lla,0,1,41.5179091737,-81.5486454307,296.639590344,0.164291396071,0.0,0.0,0.0,0.0978882123967,0.0,0.0,0.0,0.221524736035,0
1510334869858360621,2395,1510334869858182985,/lla,0,1,41.5179031541,-81.5486263189,296.595603032,0.153913631685,0.0,0.0,0.0,0.0931648202177,0.0,0.0,0.0,0.204226005271,0
1510334870858870323,2396,1510334870858461625,/lla,0,1,41.5178929896,-81.5486011444,296.553802017,0.15514493663,0.0,0.0,0.0,0.0939101469663,0.0,0.0,0.0,0.205859813173,0
1510334871860335012,2397,1510334871860090534,/lla,0,1,41.5178771721,-81.5485705562,296.562180784,0.15637624451,0.0,0.0,0.0,0.0946554540644,0.0,0.0,0.0,0.207493614055,0
1510334872859596917,2398,1510334872859458729,/lla,0,1,41.5178561686,-81.5485403737,296.44959413,0.157607568294,0.0,0.0,0.0,0.0954007797785,0.0,0.0,0.0,0.209127439832,0
1510334873859998979,2399,1510334873859805298,/lla,0,1,41.5178319123,-81.5485139993,296.417486653,0.15883887478,0.0,0.0,0.0,0.09614610822,0.0,0.0,0.0,0.210761242334,0
1510334874858497317,2400,1510334874858232347,/lla,0,1,41.5178050937,-81.5484931713,296.335530808,0.16007017905,0.0,0.0,0.0,0.0968914239205,0.0,0.0,0.0,0.212395056522,0
1510334875858215241,2401,1510334875858082585,/lla,0,1,41.5177767389,-81.5484780508,296.305040742,0.150396404846,0.0,0.0,0.0,0.0923500859378,0.0,0.0,0.0,0.19773214367,0
1510334876860729262,2402,1510334876860485127,/lla,0,1,41.5177478548,-81.5484684021,296.255440241,0.151599570133,0.0,0.0,0.0,0.0930888796164,0.0,0.0,0.0,0.199313979061,0
1510334877860333619,2403,1510334877860065177,/lla,0,1,41.5177189389,-81.5484644267,296.165262974,0.152802752478,0.0,0.0,0.0,0.0938276954282,0.0,0.0,0.0,0.2008958383,0
1510334878863356835,2404,1510334878863153503,/lla,0,1,41.5176905899,-81.5484654351,296.216914524,0.154005918746,0.0,0.0,0.0,0.0945664988016,0.0,0.0,0.0,0.202477700728,0
1510334879859858868,2405,1510334879859622209,/lla,0,1,41.5176671054,-81.5484679366,294.37868933,0.155209083355,0.0,0.0,0.0,0.0953052921032,0.0,0.0,0.0,0.204059573746,0
1510334880858419139,2406,1510334880858267182,/lla,0,1,41.517639988,-81.5484792498,294.299518769,0.156412262034,0.0,0.0,0.0,0.0960440968774,0.0,0.0,0.0,0.205641412232,0
1510334881856823834,2407,1510334881856648412,/lla,0,1,41.5176138051,-81.5484952231,294.233405581,0.157615424487,0.0,0.0,0.0,0.0967828985668,0.0,0.0,0.0,0.207223280295,0
1510334882855751574,2408,1510334882855617584,/lla,0,1,41.5175895783,-81.5485159451,294.216236823,0.148319277157,0.0,0.0,0.0,0.0923176115583,0.0,0.0,0.0,0.193560555941,0
