%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1510335811843929496,3337,1510335811843615515,/lla,0,1,41.5177328928,-81.5488051955,296.519130715,0.0253921542848,0.0,0.0,0.0,0.0220480267916,0.0,0.0,0.0,0.0251822057237,0
1510335812842741721,3338,1510335812842502433,/lla,0,1,41.5177319398,-81.5488079692,296.453944126,0.0255936811532,0.0,0.0,0.0,0.0222230139729,0.0,0.0,0.0,0.0253820684636,0
1510335813847001809,3339,1510335813846769050,/lla,0,1,41.5177303775,-81.5488162753,296.516789695,0.0257952052263,0.0,0.0,0.0,0.0223979970198,0.0,0.0,0.0,0.0255819251505,0
1510335814843047578,3340,1510335814842788393,/lla,0,1,41.5177273065,-81.5488303874,296.543611767,0.025996731534,0.0,0.0,0.0,0.0225729811954,0.0,0.0,0.0,0.0257817855786,0
1510335815842737609,3341,1510335815842490880,/lla,0,1,41.5177231448,-81.5488478046,296.602267807,0.0261982557187,0.0,0.0,0.0,0.022747967508,0.0,0.0,0.0,0.0259816454643,0
1510335816844102344,3342,1510335816843880788,/lla,0,1,41.5177181669,-81.5488660921,296.603223593,0.0263997832175,0.0,0.0,0.0,0.0229229526232,0.0,0.0,0.0,0.0261815006329,0
1510335817845593988,3343,1510335817845431161,/lla,0,1,41.5177124936,-81.548887024,296.398740809,0.0249840327009,0.0,0.0,0.0,0.0216773001544,0.0,0.0,0.0,0.0247358681624,0
1510335818843807747,3344,1510335818843586648,/lla,0,1,41.5177045631,-81.5489112725,296.447657446,0.0251839035715,0.0,0.0,0.0,0.021850715939,0.0,0.0,0.0,0.0249337576351,0
1510335819845930531,3345,1510335819845751182,/lla,0,1,41.5176944275,-81.5489378301,296.470904053,0.0253837777838,0.0,0.0,0.0,0.0220241370726,0.0,0.0,0.0,0.0251316417943,0
1510335820845266300,3346,1510335820845111415,/lla,0,1,41.5176812269,-81.5489683324,296.527748214,0.0255836507206,0.0,0.0,0.0,0.0221975554422,0.0,0.0,0.0,0.0253295302195,0
1510335821845226885,3347,1510335821845018184,/lla,0,1,41.5176656393,-81.5489992236,296.494780921,0.0257835226615,0.0,0.0,0.0,0.0223709718818,0.0,0.0,0.0,0.0255274185387,0
1510335822841463447,3348,1510335822841138629,/lla,0,1,41.5176503224,-81.5490273208,296.525785792,0.0247798442726,0.0,0.0,0.0,0.0214749065012,0.0,0.0,0.0,0.0245236528631,0
1510335823842426619,3349,1510335823842173634,/lla,0,1,41.5176324969,-81.549056135,296.576534476,0.0249780834968,0.0,0.0,0.0,0.0216467056376,0.0,0.0,0.0,0.0247198452137,0
1510335824842374633,3350,1510335824842122941,/lla,0,1,41.5176139045,-81.5490832944,296.575121214,0.0251763228164,0.0,0.0,0.0,0.0218185024978,0.0,0.0,0.0,0.0249160336083,0
1510335825845959393,3351,1510335825845799684,/lla,0,1,41.5175944207,-81.5491087196,296.522885979,0.0253745576331,0.0,0.0,0.0,0.021990302213,0.0,0.0,0.0,0.0251122229179,0
1510335826842955042,3352,1510335826842768051,/lla,0,1,41.5175732572,-81.5491327135,296.49485033,0.0255727977574,0.0,0.0,0.0,0.0221621012806,0.0,0.0,0.0,0.0253084135304,0
1510335827841406743,3353,1510335827841241175,/lla,0,1,41.517550618,-81.5491557338,296.531406645,0.0257710389784,0.0,0.0,0.0,0.0223339007512,0.0,0.0,0.0,0.0255046012568,0
1510335828864743899,3354,1510335828864535149,/lla,0,1,41.5175266866,-81.5491772957,296.449011954,0.0259692771938,0.0,0.0,0.0,0.0225057018435,0.0,0.0,0.0,0.0257007915719,0
1510335829842001313,3355,1510335829841771285,/lla,0,1,41.517500641,-81.5491978203,296.38442054,0.0247894249696,0.0,0.0,0.0,0.0215283739908,0.0,0.0,0.0,0.024865784745,0
1510335830842527251,3356,1510335830842296150,/lla,0,1,41.517473321,-81.5492159659,296.366649169,0.0249861666736,0.0,0.0,0.0,0.0216992318323,0.0,0.0,0.0,0.025063135309,0
1510335831842800909,3357,1510335831842576994,/lla,0,1,41.5174459333,-81.5492310818,296.338382494,0.0251829103945,0.0,0.0,0.0,0.0218700950758,0.0,0.0,0.0,0.0252604796406,0
1510335832843322979,3358,1510335832843120952,/lla,0,1,41.5174193742,-81.5492438032,296.27812754,0.025379651773,0.0,0.0,0.0,0.0220409514308,0.0,0.0,0.0,0.025457827528,0
1510335833840319760,3359,1510335833840110989,/lla,0,1,41.5173934059,-81.549253571,296.366105665,0.0255763913251,0.0,0.0,0.0,0.0222118152187,0.0,0.0,0.0,0.02565517477,0
1510335834850204281,3360,1510335834850021704,/lla,0,1,41.5173683253,-81.549260834,296.327847674,0.0257731345331,0.0,0.0,0.0,0.0223826743811,0.0,0.0,0.0,0.0258525220654,0
1510335835841540258,3361,1510335835841297092,/lla,0,1,41.5173490317,-81.5492651485,296.331777514,0.024385702655,0.0,0.0,0.0,0.0211834224517,0.0,0.0,0.0,0.0244973330854,0
1510335836839945948,3362,1510335836839741823,/lla,0,1,41.5173364302,-81.5492672186,296.391267774,0.0245807874897,0.0,0.0,0.0,0.021352891225,0.0,0.0,0.0,0.0246933126239,0
1510335837843019874,3363,1510335837842799275,/lla,0,1,41.5173293278,-81.5492683546,296.340153146,0.0247758755352,0.0,0.0,0.0,0.0215223574923,0.0,0.0,0.0,0.0248892924729,0
1510335838841060524,3364,1510335838840902522,/lla,0,1,41.5173248944,-81.5492689448,296.409241638,0.0249709623408,0.0,0.0,0.0,0.0216918264017,0.0,0.0,0.0,0.025085268116,0
1510335839842697148,3365,1510335839842468025,/lla,0,1,41.5173204502,-81.549269371,296.409838325,0.0251660482934,0.0,0.0,0.0,0.0218612945259,0.0,0.0,0.0,0.0252812493631,0
1510335840842750124,3366,1510335840842556416,/lla,0,1,41.5173152359,-81.5492697801,296.45163535,0.0241795346978,0.0,0.0,0.0,0.020996513551,0.0,0.0,0.0,0.0243240076433,0
1510335841840317091,3367,1510335841840102614,/lla,0,1,41.5173110898,-81.5492700554,296.461659861,0.0243729665736,0.0,0.0,0.0,0.0211644887807,0.0,0.0,0.0,0.0245185987056,0
1510335842838822792,3368,1510335842838598699,/lla,0,1,41.5173063015,-81.549270768,296.513816953,0.0245664030105,0.0,0.0,0.0,0.0213324585572,0.0,0.0,0.0,0.0247131919904,0
1510335843844784402,3369,1510335843844613121,/lla,0,1,41.5172992164,-81.5492708434,296.448535921,0.024759839632,0.0,0.0,0.0,0.0215004323758,0.0,0.0,0.0,0.0249077830528,0
1510335844839277177,3370,1510335844839068814,/lla,0,1,41.5172913988,-81.5492715405,296.359795845,0.0249532768786,0.0,0.0,0.0,0.0216684024887,0.0,0.0,0.0,0.0251023770009,0
1510335845840131091,3371,1510335845839962287,/lla,0,1,41.5172836456,-81.5492715287,296.353434057,0.0251467153715,0.0,0.0,0.0,0.02183637439,0.0,0.0,0.0,0.0252969697179,0
1510335846839747484,3372,1510335846839515598,/lla,0,1,41.5172734258,-81.549271312,296.30453334,0.0253401511677,0.0,0.0,0.0,0.0220043493863,0.0,0.0,0.0,0.0254915619525,0
1510335847840446345,3373,1510335847840218029,/lla,0,1,41.5172601165,-81.5492704031,296.290452667,0.0255335851923,0.0,0.0,0.0,0.0221723200728,0.0,0.0,0.0,0.0256861498562,0
1510335848840472882,3374,1510335848840253921,/lla,0,1,41.5172455762,-81.5492689577,296.287588253,0.0241617612024,0.0,0.0,0.0,0.020988680689,0.0,0.0,0.0,0.0243448026643,0
1510335849843896780,3375,1510335849843734827,/lla,0,1,41.5172310793,-81.5492669581,296.211656991,0.0243535222006,0.0,0.0,0.0,0.0211552591929,0.0,0.0,0.0,0.024538015486,0
1510335850840889875,3376,1510335850840700370,/lla,0,1,41.5172162872,-81.5492639696,296.177865454,0.0245452800835,0.0,0.0,0.0,0.0213218346501,0.0,0.0,0.0,0.0247312280499,0
